"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases
"
North America
","9,536,240","+9,284","326,102",+169,"6,254,491","+4,005","2,955,647"
"
Asia
","11,757,408","+26,292","212,262",+634,"10,068,859","+38,674","1,476,287"
"
South America
","8,641,739",+237,"270,536",+30,"7,482,038",+439,"889,165"
"
Europe
","5,990,685","+47,524","230,718",+411,"3,022,440","+11,723","2,737,527"
"
Africa
","1,579,763","+1,464","37,974",+14,"1,305,895",+439,"235,894"
"
Oceania
","32,505",+28,942,+1,"29,405",+11,"2,158"
"

",721,,15,,659,,47
World,"37,539,061","+84,829","1,078,549","+1,259","28,163,787","+55,291","8,296,725"
USA,"7,949,351","+3,846","219,300 ",+18,"5,090,238",+396,"2,639,813"
India,"7,053,806","+2,263","108,371 ",,"6,077,976","+3,113","867,459"
Brazil,"5,091,840",,"150,236 ",,"4,453,722",,"487,882"
Russia,"1,298,718","+13,634","22,597 ",+143,"1,020,442","+4,240","255,679"
Colombia,"902,747",,"27,660 ",,"783,131",,"91,956"
Spain,"890,367",,"32,929 ",,N/A,N/A,N/A
Argentina,"883,882",,"23,581 ",,"709,464",,"150,837"
Peru,"846,088",,"33,223 ",,"738,189",,"74,676"
Mexico,"814,328","+4,577","83,642 ",+135,"591,150","+3,065","139,536"
France,"718,873",,"32,637 ",,"100,828",,"585,408"
South Africa,"690,896",,"17,673 ",,"622,153",,"51,070"
UK,"590,844",,"42,760 ",,N/A,N/A,N/A
Iran,"500,075","+3,822","28,544 ",+251,"406,389","+2,439","65,142"
Chile,"479,595",,"13,272 ",,"452,054",,"14,269"
Iraq,"402,330","+2,206","9,852 ",+62,"336,157","+3,827","56,321"
Bangladesh,"378,266","+1,193","5,524 ",+24,"292,860","+1,495","79,882"
Italy,"349,494",,"36,140 ",,"238,525",,"74,829"
Philippines,"339,341","+2,502","6,321 ",+83,"293,075","+17,057","39,945"
Saudi Arabia,"339,267",+323,"5,043 ",+25,"325,330",+593,"8,894"
Turkey,"334,031",,"8,778 ",,"293,145",,"32,108"
Indonesia,"333,449","+4,497","11,844 ",+79,"255,027","+3,546","66,578"
Germany,"324,259",+806,"9,697 ",+6,"273,500",,"41,062"
Pakistan,"318,932",+666,"6,570 ",+12,"303,458",+396,"8,904"
Israel,"290,079",+204,"1,956 ",+15,"225,929",+204,"62,194"
Ukraine,"261,034","+4,768","4,972 ",+85,"113,507",+937,"142,555"
Canada,"180,179",,"9,608 ",,"151,357",,"19,214"
Netherlands,"174,653","+6,373","6,584 ",+17,N/A,N/A,N/A
Belgium,"156,931","+7,950","10,175 ",+24,"20,202",+130,"126,554"
Romania,"155,283","+2,880","5,411 ",+53,"117,942","+1,314","31,930"
Morocco,"149,841",,"2,572 ",,"124,854",,"22,415"
Ecuador,"146,828",,"12,188 ",,"120,511",,"14,129"
Bolivia,"138,463",+237,"8,292 ",+30,"100,786",+439,"29,385"
Qatar,"127,778",,219 ,,"124,767",,"2,792"
Poland,"125,816","+4,178","3,004 ",+32,"80,302","+1,320","42,510"
Panama,"119,666",,"2,482 ",,"95,552",,"21,632"
Dominican Republic,"118,014",,"2,167 ",,"93,627",,"22,220"
Czechia,"114,005",,948 ,,"54,909",,"58,148"
Kuwait,"111,116",+548,658 ,+3,"103,268",+546,"7,190"
Kazakhstan,"108,757",+94,"1,746 ",,"103,980",+70,"3,031"
Nepal,"107,755","+2,071",636 ,+22,"75,804","+1,552","31,315"
UAE,"106,229","+1,096",445 ,+2,"97,284","+1,311","8,500"
Oman,"105,890","+1,761","1,038 ",+29,"92,840","+1,109","12,012"
Egypt,"104,387",,"6,040 ",,"97,643",,704
Sweden,"98,451",,"5,894 ",,N/A,N/A,N/A
Guatemala,"97,544",,"3,365 ",,"86,046",,"8,133"
Japan,"88,233",,"1,624 ",,"81,356",,"5,253"
Costa Rica,"87,439",,"1,076 ",,"52,669",,"33,694"
Portugal,"86,664","+1,090","2,080 ",+13,"53,187",+384,"31,397"
Ethiopia,"83,429",,"1,277 ",,"37,683",,"44,469"
Honduras,"83,146",+594,"2,504 ",+12,"31,931",+195,"48,711"
Belarus,"83,023",+552,891 ,+6,"76,983",+440,"5,149"
Venezuela,"82,453",,691 ,,"73,919",,"7,843"
Bahrain,"75,287",,273 ,,"70,808",,"4,206"
Moldova,"61,762",,"1,458 ",,"43,982",,"16,322"
Uzbekistan,"60,894",+118,503 ,+1,"57,704",,"2,687"
Switzerland,"60,368",,"2,088 ",,"48,400",,"9,880"
Nigeria,"60,103",,"1,115 ",,"51,711",,"7,277"
Singapore,"57,876",+10,27 ,,"57,698",,151
Armenia,"56,451",+715,"1,020 ",+4,"45,824",+53,"9,607"
Austria,"55,319",+896,851 ,,"43,448",+619,"11,020"
Algeria,"52,940",,"1,795 ",,"37,170",,"13,975"
Lebanon,"52,558",,455 ,,"22,719",,"29,384"
Kyrgyzstan,"49,230",+306,"1,085 ",+3,"44,227",,"3,918"
Paraguay,"48,978",,"1,065 ",,"31,351",,"16,562"
Ghana,"47,005",,306 ,,"46,398",,301
Palestine,"44,299",+354,381 ,+3,"37,942",+702,"5,976"
Libya,"42,712","+1,026",631 ,+8,"24,038",+247,"18,043"
Azerbaijan,"41,982",+230,609 ,+1,"39,357",+122,"2,016"
Ireland,"41,714",,"1,824 ",,"23,364",,"16,526"
Kenya,"41,546",+388,766 ,+6,"32,000",+63,"8,780"
Afghanistan,"39,799",+96,"1,477 ",+4,"33,114",+50,"5,208"
Hungary,"37,664","+1,068",954 ,+21,"10,848","+1,165","25,862"
Serbia,"34,787",+102,763 ,+1,"31,536",,"2,488"
Denmark,"32,422",+340,669 ,+2,"26,380",+393,"5,373"
Tunisia,"31,259",,456 ,,"5,032",,"25,771"
Bosnia and Herzegovina,"30,647",+302,928 ,+1,"23,461",+91,"6,258"
El Salvador,"30,196",+126,890 ,+3,"25,438",+214,"3,868"
Australia,"27,265",+21,898 ,+1,"24,998",+11,"1,369"
Myanmar,"26,064",,598 ,,"7,050",,"18,416"
S. Korea,"24,606",+58,432 ,+2,"22,693",+69,"1,481"
Bulgaria,"24,319",,891 ,,"15,818",,"7,610"
Jordan,"23,998",,181 ,,"6,045",,"17,772"
Greece,"22,078",,436 ,,"9,989",,"11,653"
Cameroon,"21,203",,423 ,,"20,117",,663
North Macedonia,"20,555",,785 ,,"16,099",,"3,671"
Croatia,"20,440",+508,324 ,+7,"17,298",+345,"2,818"
Ivory Coast,"20,128",,120 ,,"19,752",,256
Slovakia,"19,851","+1,054",61 ,,"5,631",+78,"14,159"
Madagascar,"16,718",+16,237 ,,"16,042",+30,439
Malaysia,"15,657",+561,157 ,+2,"10,913",+133,"4,587"
Norway,"15,506",+40,275 ,,"11,863",,"3,368"
Zambia,"15,415",,337 ,,"14,541",,537
Senegal,"15,268",+24,314 ,,"13,297",+99,"1,657"
Albania,"15,231",,416 ,,"9,406",,"5,409"
Sudan,"13,670",,836 ,,"6,764",,"6,070"
Montenegro,"13,641",,198 ,,"9,429",,"4,014"
Finland,"11,998",+149,346 ,,"8,500",,"3,152"
Namibia,"11,891",,128 ,,"9,807",,"1,956"
Georgia,"11,794",+523,85 ,+7,"6,327",+208,"5,382"
Guinea,"10,996",,69 ,,"10,304",,623
Maldives,"10,859",,34 ,,"9,683",,"1,142"
DRC,"10,851",+10,276 ,,"10,242",,333
Tajikistan,"10,222",+42,79 ,,"9,058",+52,"1,085"
French Guiana,"10,144",,69 ,,"9,834",,241
Mozambique,"9,844",,70 ,,"7,203",,"2,571"
Uganda,"9,701",,93 ,,"6,022",,"3,586"
Luxembourg,"9,514",,131 ,,"8,038",,"1,345"
Haiti,"8,860",,230 ,,"7,104",,"1,526"
Gabon,"8,835",,54 ,,"8,189",,592
Slovenia,"8,663",+411,167  ,,"5,182",+158,"3,314"
Zimbabwe,"8,010",,230 ,,"6,492",,"1,288"
Jamaica,"7,559",,138 ,,"3,142",,"4,279"
Mauritania,"7,550",,163 ,,"7,266",,121
Cabo Verde,"6,913",,74 ,,"5,970",,869
Guadeloupe,"6,483",,77 ,,"2,199",,"4,207"
Angola,"6,246",,218 ,,"2,716",,"3,312"
Lithuania,"6,122",+160,103 ,,"2,777",+26,"3,242"
Cuba,"5,948",,123 ,,"5,440",,385
Malawi,"5,821",,180 ,,"4,644",,997
Eswatini,"5,660",,113 ,,"5,282",,265
Djibouti,"5,423",,61 ,,"5,355",,7
Nicaragua,"5,264",,153 ,,"4,225",,886
Hong Kong,"5,183",+7,105 ,,"4,919",+5,159
Congo,"5,118",,90 ,,"3,887",,"1,141"
Equatorial Guinea,"5,063",,83 ,,"4,894",,86
Trinidad and Tobago,"5,043",,90 ,,"3,221",,"1,732"
Suriname,"5,035",,107 ,,"4,830",,98
Bahamas,"5,023",+68,106 ,,"2,815",+91,"2,102"
Rwanda,"4,892",,30 ,,"3,566",,"1,296"
CAR,"4,854",,62 ,,"1,924",,"2,868"
Syria,"4,673",,221 ,,"1,271",,"3,181"
Sri Lanka,"4,628",,13 ,,"3,307",+1,"1,308"
Réunion,"4,491",,16 ,,"3,994",,481
Aruba,"4,188",,32 ,,"3,753",,403
Mayotte,"3,989",,43 ,,"2,964",,982
Estonia,"3,865",+19,68 ,,"2,958",+12,839
Somalia,"3,847",,99 ,,"3,079",,669
Malta,"3,776",+95,41 ,,"2,967",+30,768
Thailand,"3,636",+2,59 ,,"3,451",+6,126
Gambia,"3,628",,117 ,,"2,540",,971
Iceland,"3,526",+66,10 ,,"2,499",+33,"1,017"
Guyana,"3,405",,102 ,,"2,304",,999
Mali,"3,273",,132 ,,"2,525",,616
Botswana,"3,219",,18 ,,834,,"2,367"
South Sudan,"2,761",,54 ,,"1,290",,"1,417"
French Polynesia,"2,754",,10 ,,"2,019",,725
Andorra,"2,696",,55 ,,"1,814",,827
Latvia,"2,670",+74,40 ,,"1,322",,"1,308"
Belize,"2,496",+69,36 ,+1,"1,531",+44,929
Benin,"2,411",,41 ,,"1,973",,397
Guinea-Bissau,"2,385",,40 ,,"1,728",,617
Sierra Leone,"2,300",,72 ,,"1,725",,503
Burkina Faso,"2,271",,61 ,,"1,542",,668
Uruguay,"2,268",,50 ,,"1,930",,288
Yemen,"2,051",,595 ,,"1,329",,127
Cyprus,"1,986",,25 ,,"1,444",,517
Togo,"1,935",,49 ,,"1,444",,442
New Zealand,"1,871",+1,25 ,,"1,801",,45
Martinique,"1,851",,22 ,,98,,"1,731"
Lesotho,"1,800",,42 ,,926,,832
Liberia,"1,363",,82 ,,"1,245",,36
Chad,"1,291",,92 ,,"1,103",,96
Niger,"1,201",,69 ,,"1,123",,9
Vietnam,"1,109",+2,35 ,,"1,024",,50
Sao Tome and Principe,922,,15 ,,890,,17
San Marino,741,,42 ,,682,,17
Diamond Princess,712,,13 ,,659,,40
Sint Maarten,707,+4,22 ,,622,,63
Channel Islands,699,,48 ,,623,,28
Turks and Caicos,696,,6 ,,672,,18
Curaçao,571,,1 ,,308,,262
Papua New Guinea,554,+5,7 ,,532,,15
Taiwan,527,,7 ,,488,,32
Burundi,517,,1 ,,472,,44
Tanzania,509,,21 ,,183,,305
Comoros,495,,7 ,,475,,13
Gibraltar,485,+9, ,,413,+8,72
Faeroe Islands,477,, ,,461,,16
Saint Martin,466,,8 ,,309,,149
Eritrea,414,, ,,372,,42
Mauritius,395,,10 ,,358,,27
Isle of Man,345,,24 ,,316,,5
Mongolia,316,+1, ,,310,,6
Bhutan,306,, ,,287,+5,19
Cambodia,283,, ,,278,+1,5
Monaco,233,,2 ,,209,,22
Cayman Islands,221,,1 ,,211,,9
Barbados,206,,7 ,,183,,16
Bermuda,184,,9 ,,170,,5
Caribbean Netherlands,148,,2 ,,78,,68
Seychelles,148,, ,,144,,4
Brunei ,146,,3 ,,143,,0
Liechtenstein,144,,1 ,,121,,22
Antigua and Barbuda,111,,3 ,,97,,11
British Virgin Islands,71,,1 ,,70,,0
St. Barth,65,, ,,37,,28
St. Vincent Grenadines,64,, ,,64,,0
Macao,46,, ,,46,,0
Fiji,32,,2 ,,28,,2
Dominica,32,, ,,24,,8
Saint Lucia,29,, ,,27,,2
Timor-Leste,28,, ,,28,,0
New Caledonia,27,, ,,27,,0
Grenada,24,, ,,24,,0
Laos,23,, ,,22,,1
Saint Kitts and Nevis,19,, ,,18,,1
Greenland,16,, ,,14,,2
Saint Pierre Miquelon,16,, ,,12,,4
Montserrat,13,,1 ,,12,,0
Falkland Islands,13,, ,,13,,0
Vatican City,12,, ,,12,,0
Western Sahara,10,,1 ,,8,,1
MS Zaandam,9,,2 ,,,,7
Anguilla,3,, ,,3,,0
Solomon Islands,2,+1, ,,,,2
China,"85,557",+21,"4,634 ",,"80,705",+9,218
Total:,"9,536,240","+9,284","326,102",+169,"6,254,491","+4,005","2,955,647"
Total:,"11,757,408","+26,292","212,262",+634,"10,068,859","+38,674","1,476,287"
Total:,"8,641,739",+237,"270,536",+30,"7,482,038",+439,"889,165"
Total:,"5,990,685","+47,524","230,718",+411,"3,022,440","+11,723","2,737,527"
Total:,"1,579,763","+1,464","37,974",+14,"1,305,895",+439,"235,894"
Total:,"32,505",+28,942,+1,"29,405",+11,"2,158"
Total:,721,,15,,659,,47
Total:,"37,539,061","+84,829","1,078,549","+1,259","28,163,787","+55,291","8,296,725"

"
Asia
","11,731,116","+109,075","211,628","+1,637","10,030,185","+111,960","1,489,303"
"
North America
","9,526,956","+63,154","325,933","+1,142","6,250,486","+35,378","2,950,537"
"
South America
","8,641,502","+62,848","270,506","+1,260","7,481,599","+44,297","889,397"
"
Europe
","5,943,161","+107,290","230,307",+764,"3,010,717","+20,227","2,702,137"
"
Africa
","1,578,299","+13,525","37,960",+271,"1,305,456","+6,026","234,883"
"
Oceania
","32,477",+19,941,,"29,394",+16,"2,142"
"

",721,,15,,659,+8,47
World,"37,454,232","+355,911","1,077,290","+5,074","28,108,496","+217,912","8,268,446"
China,"85,536",+15,"4,634 ",,"80,696",+15,206
USA,"7,945,505","+50,876","219,282 ",+635,"5,089,842","+25,542","2,636,381"
India,"7,051,543","+74,535","108,371 ",+921,"6,074,863","+89,358","868,309"
Brazil,"5,091,840","+34,650","150,236 ",+544,"4,453,722","+20,127","487,882"
Russia,"1,285,084","+12,846","22,454 ",+197,"1,016,202","+6,781","246,428"
Colombia,"902,747","+8,447","27,660 ",+165,"783,131","+2,584","91,956"
Spain,"890,367",,"32,929 ",,N/A,N/A,N/A
Argentina,"883,882","+12,414","23,581 ",+356,"709,464","+12,323","150,837"
Peru,"846,088","+2,733","33,223 ",+65,"738,189","+5,189","74,676"
Mexico,"809,751","+5,263","83,507 ",+411,"588,085","+4,482","138,159"
France,"718,873","+26,896","32,637 ",+54,"100,828",,"585,408"
South Africa,"690,896","+2,544","17,673 ",+126,"622,153","+2,072","51,070"
UK,"590,844","+15,166","42,760 ",+81,N/A,N/A,N/A
Iran,"496,253","+3,875","28,293 ",+195,"403,950","+2,571","64,010"
Chile,"479,595","+1,826","13,272 ",+52,"452,054","+1,757","14,269"
Iraq,"400,124","+2,344","9,790 ",+55,"332,330","+4,233","58,004"
Bangladesh,"377,073","+1,203","5,500 ",+23,"291,365","+1,453","80,208"
Italy,"349,494","+5,724","36,140 ",+29,"238,525",+976,"74,829"
Saudi Arabia,"338,944",+405,"5,018 ",+22,"324,737",+455,"9,189"
Philippines,"336,839","+2,162","6,238 ",+87,"276,018",+766,"54,583"
Turkey,"334,031","+1,649","8,778 ",+56,"293,145","+1,391","32,108"
Indonesia,"328,952","+4,294","11,765 ",+88,"251,481","+3,814","65,706"
Germany,"323,453","+2,975","9,691 ",+4,"273,500","+1,700","40,262"
Pakistan,"318,266",+671,"6,558 ",+6,"303,062",+354,"8,646"
Israel,"289,875","+2,017","1,941 ",+55,"225,725",+477,"62,209"
Ukraine,"256,266","+5,728","4,887 ",+108,"112,570","+1,920","138,809"
Canada,"180,179","+2,062","9,608 ",+23,"151,357","+1,833","19,214"
Netherlands,"168,280","+6,499","6,567 ",+23,N/A,N/A,N/A
Romania,"152,403","+3,517","5,358 ",+59,"116,628","+1,836","30,417"
Morocco,"149,841","+3,443","2,572 ",+42,"124,854","+1,832","22,415"
Belgium,"148,981","+5,385","10,151 ",+25,"20,072",+91,"118,758"
Ecuador,"146,828",+980,"12,188 ",+13,"120,511",,"14,129"
Bolivia,"138,226",+257,"8,262 ",+34,"100,347",+535,"29,617"
Qatar,"127,778",+178,219 ,,"124,767",+208,"2,792"
Poland,"121,638","+5,300","2,972 ",+53,"78,982","+1,107","39,684"
Panama,"119,666",+825,"2,482 ",+8,"95,552",+590,"21,632"
Dominican Republic,"118,014",+557,"2,167 ",+2,"93,627",+566,"22,220"
Czechia,"114,005","+4,631",948 ,+43,"54,909","+1,736","58,148"
Kuwait,"110,568",+492,655 ,+6,"102,722",+698,"7,191"
Kazakhstan,"108,663",+102,"1,746 ",,"103,910",+152,"3,007"
Nepal,"105,684","+5,008",614 ,+14,"74,252","+1,229","30,818"
UAE,"105,133","+1,129",443 ,+1,"95,973","+1,070","8,717"
Egypt,"104,387",+125,"6,040 ",+11,"97,643",+51,704
Oman,"104,129",,"1,009 ",,"91,731",,"11,389"
Sweden,"98,451",,"5,894 ",,N/A,N/A,N/A
Guatemala,"97,544",+609,"3,365 ",+9,"86,046",+703,"8,133"
Japan,"88,233",+594,"1,624  ",+8,"81,356",+623,"5,253"
Costa Rica,"87,439","+1,386","1,076 ",+21,"52,669",+342,"33,694"
Portugal,"85,574","+1,646","2,067 ",+5,"52,803",+639,"30,704"
Ethiopia,"83,429",+767,"1,277 ",+6,"37,683",+581,"44,469"
Honduras,"82,552",+880,"2,492 ",+15,"31,736",+647,"48,324"
Belarus,"82,471",,885 ,,"76,543",,"5,043"
Venezuela,"82,453",+757,691 ,+7,"73,919",+899,"7,843"
Bahrain,"75,287",+427,273 ,+2,"70,808",+402,"4,206"
Moldova,"61,762",+929,"1,458 ",+16,"43,982",+493,"16,322"
Uzbekistan,"60,776",+434,502 ,+4,"57,704",+483,"2,570"
Switzerland,"60,368",,"2,088 ",,"48,400",,"9,880"
Nigeria,"60,103",+111,"1,115 ",+2,"51,711",+97,"7,277"
Singapore,"57,866",+7,27 ,,"57,698",+23,141
Armenia,"55,736",+649,"1,016 ",+6,"45,771",+243,"8,949"
Austria,"54,423","+1,235",851 ,+9,"42,829",+790,"10,743"
Algeria,"52,940",+136,"1,795 ",+6,"37,170",+103,"13,975"
Lebanon,"52,558","+1,388",455 ,+5,"22,719",+312,"29,384"
Paraguay,"48,978",+703,"1,065 ",+20,"31,351",+708,"16,562"
Kyrgyzstan,"48,924",+307,"1,082 ",+5,"44,227",+130,"3,615"
Ghana,"47,005",+18,306 ,,"46,398",+20,301
Palestine,"43,945",+281,378 ,+11,"37,240",+318,"6,327"
Azerbaijan,"41,752",+233,608 ,+3,"39,235",+106,"1,909"
Ireland,"41,714","+1,011","1,824 ",+3,"23,364",,"16,526"
Libya,"41,686",+318,623 ,+2,"23,791",+338,"17,272"
Kenya,"41,158",+538,760 ,+5,"31,937",+61,"8,461"
Afghanistan,"39,703",+10,"1,473 ",+1,"33,064",+6,"5,166"
Hungary,"36,596","+1,374",933 ,+20,"9,683",+481,"25,980"
Serbia,"34,685",+168,762 ,+1,"31,536",,"2,387"
Denmark,"32,082",+444,667 ,+2,"25,987",+485,"5,428"
Tunisia,"31,259","+4,360",456 ,+47,"5,032",,"25,771"
Bosnia and Herzegovina,"30,345",+428,927 ,+1,"23,370",+129,"6,048"
El Salvador,"30,070",+119,887 ,+6,"25,224",+229,"3,959"
Australia,"27,244",+15,897 ,,"24,987",+15,"1,360"
Myanmar,"26,064","+2,158",598 ,+32,"7,050",+312,"18,416"
S. Korea,"24,548",+72,430 ,+2,"22,624",+55,"1,494"
Bulgaria,"24,319",+448,891 ,+4,"15,818",+105,"7,610"
Jordan,"23,998","+1,235",181 ,+15,"6,045",+139,"17,772"
Greece,"22,078",+306,436 ,+5,"9,989",,"11,653"
Cameroon,"21,203",,423 ,,"20,117",,663
North Macedonia,"20,555",+392,785 ,+4,"16,099",+90,"3,671"
Ivory Coast,"20,128",+92,120 ,,"19,752",+56,256
Croatia,"19,932",+486,317 ,+4,"16,953",+258,"2,662"
Slovakia,"18,797","+1,887",61 ,+4,"5,553",+101,"13,183"
Madagascar,"16,702",+26,237 ,,"16,012",+37,453
Norway,"15,466",+78,275 ,,"11,863",,"3,328"
Zambia,"15,415",+76,337 ,+1,"14,541",+102,537
